ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch
10.0.0.1,39.128204,-77.021567,PTZ Camera,Axis P5655-E,Washington Sector 1,2026-01-23,443,Lumen,US,North America,GLOBAL_500_V4
10.0.0.2,41.039875,-73.994777,PTZ Camera,Hanwha XNV-8080R,New York Sector 2,2026-01-08,8080,Verizon,US,North America,GLOBAL_500_V4
10.0.0.3,19.73623,-99.477847,Dome Camera,Dahua SD49425XB,Mexico City Sector 3,2026-01-04,554,AT&T,MX,North America,GLOBAL_500_V4
10.0.0.4,43.541794,-78.95745,Bullet Camera,Hikvision DS-2CD2085G1,Toronto Sector 4,2026-02-08,80,Lumen,CA,North America,GLOBAL_500_V4
10.0.0.5,4.550031,-74.350882,Bullet Camera,Hanwha XNV-8080R,Bogota Sector 5,2025-10-19,80,Airtel,CO,South America,GLOBAL_500_V4
10.0.0.6,-12.211511,-77.099619,Bullet Camera,Hikvision DS-2CD2085G1,Lima Sector 6,2025-10-19,80,Lumen,PE,South America,GLOBAL_500_V4
10.0.0.7,-23.401515,-46.307026,Bullet Camera,Bosch FLEXIDOME,Sao Paulo Sector 7,2025-11-09,8080,Verizon,BR,South America,GLOBAL_500_V4
10.0.0.8,-34.91757,-58.476519,IP Camera,Hikvision DS-2CD2085G1,Buenos Aires Sector 8,2025-03-25,443,AT&T,AR,South America,GLOBAL_500_V4
10.0.0.9,51.775725,0.304153,IP Camera,Axis P5655-E,London Sector 9,2025-04-18,80,Lumen,GB,Europe,GLOBAL_500_V4
10.0.0.10,48.583723,2.639185,PTZ Camera,Hikvision DS-2CD2085G1,Paris Sector 10,2025-04-22,443,Comcast,FR,Europe,GLOBAL_500_V4
10.0.0.11,52.872281,13.76592,Dome Camera,Dahua SD49425XB,Berlin Sector 11,2026-01-01,443,AT&T,DE,Europe,GLOBAL_500_V4
10.0.0.12,40.306034,-3.931299,IP Camera,Bosch FLEXIDOME,Madrid Sector 12,2026-01-03,554,Comcast,ES,Europe,GLOBAL_500_V4
10.0.0.13,41.807658,12.679539,Dome Camera,Axis P5655-E,Rome Sector 13,2026-01-04,8080,Verizon,IT,Europe,GLOBAL_500_V4
10.0.0.14,52.583579,20.856939,IP Camera,Bosch FLEXIDOME,Warsaw Sector 14,2026-01-04,8080,BT,PL,Europe,GLOBAL_500_V4
10.0.0.15,30.481548,31.026934,IP Camera,Dahua SD49425XB,Cairo Sector 15,2025-10-30,80,Lumen,EG,Africa,GLOBAL_500_V4
